RATE,TIME
16.68,252753588.1492
18.07,252753688.1492
17.92,252753788.1492
17.3,252753888.1492
17.6,252753988.1492
18.14,252754088.1492
17.12,252754188.1492
17.43,252754288.1492
18.26,252754388.1492
17.27,252754488.1492
17.94,252754588.1492
18.59,252754688.1492
18.12,252754788.1492
18.32,252754888.1492
18.13,252754988.1492
18.34,252755088.1492
18.14,252755188.1492
19.15,252755288.1492
17.88,252755388.1492
19.41,252755488.1492
18.29,252755588.1492
18.3,252755688.1492
17.75,252755788.1492
18.18,252755888.1492
18.66,252755988.1492
19.12,252756088.1492
18.38,252756188.1492
18.66,252756288.1492
19.05,252756388.1492
18.66,252756488.1492
18.57,252756588.1492
19.45,252756688.1492
19.12,252756788.1492
18.98,252756888.1492
18.55,252756988.1492
18.84,252757088.1492
18.73,252757188.1492
18.25,252757288.1492
18.9,252757388.1492
18.57,252757488.1492
18.67,252757588.1492
18.21,252757688.1492
17.98,252757788.1492
18.09,252757888.1492
19.33,252757988.1492
17.55,252758088.1492
18.3,252758188.1492
18.83,252758288.1492
18.56,252758388.1492
19.09,252758488.1492
19.49,252758588.1492
19.61,252758688.1492
19.85,252758788.1492
18.69,252758888.1492
19.98,252758988.1492
18.45,252759088.1492
19.56,252759188.1492
19.5,252759288.1492
19.5,252759388.1492
19.13,252759488.1492
18.53,252759588.1492
18.24,252759688.1492
18.85,252759788.1492
18.57,252759888.1492
19.11,252759988.1492
19.65,252760088.1492
19.57,252760188.1492
18.93,252760288.1492
18.82,252760388.1492
19.18,252760488.1492
18.8,252760588.1492
17.91,252760688.1492
19.2,252760788.1492
17.62,252760888.1492
17.77,252760988.1492
18.18,252761088.1492
17.83,252761188.1492
13.5,252761288.1492
15.24,252761388.1492
18.85,252761488.1492
19.47,252761588.1492
19.98,252761688.1492
19.73,252761788.1492
19.73,252761888.1492
19.73,252761988.1492
20.6,252762088.1492
20.41,252762188.1492
20.91,252762288.1492
20.22,252762388.1492
20.02,252762488.1492
21.44,252762588.1492
21.44,252762688.1492
20.39,252762788.1492
20.22,252762888.1492
19.61,252762988.1492
19.64,252763088.1492
19.36,252763188.1492
19.29,252763288.1492
19.49,252763388.1492
18.49,252763488.1492
18.04,252763588.1492
18.35,252763688.1492
17.67,252763788.1492
17.8,252763888.1492
18.37,252763988.1492
17.93,252764088.1492
18.08,252764188.1492
18.71,252764288.1492
17.39,252764388.1492
18.51,252764488.1492
18.23,252764588.1492
18.29,252764688.1492
18.72,252764788.1492
19.77,252764888.1492
19.01,252764988.1492
18.63,252765088.1492
18.58,252765188.1492
18.3,252765288.1492
18.94,252765388.1492
18.84,252765488.1492
18.49,252765588.1492
19.03,252765688.1492
18.18,252765788.1492
17.68,252765888.1492
17.67,252765988.1492
18.35,252766088.1492
18.92,252766188.1492
18.75,252766288.1492
17.83,252766388.1492
19.04,252766488.1492
18.88,252766588.1492
18.62,252766688.1492
18.99,252766788.1492
19.88,252766888.1492
19.49,252766988.1492
19.44,252767088.1492
19.66,252767188.1492
19.3,252767288.1492
19.38,252767388.1492
18.96,252767488.1492
19.2,252767588.1492
18.39,252767688.1492
17.85,252767788.1492
18.41,252767888.1492
18.15,252767988.1492
17.45,252768088.1492
18.15,252768188.1492
17.77,252768288.1492
17.85,252768388.1492
17.72,252768488.1492
17.53,252768588.1492
17.58,252768688.1492
17.59,252768788.1492
17.22,252768888.1492
17.93,252768988.1492
17.25,252769088.1492
18.1,252769188.1492
17.28,252769288.1492
17.32,252769388.1492
17.52,252769488.1492
17.38,252769588.1492
17.61,252769688.1492
18.36,252769788.1492
17.96,252769888.1492
18.03,252769988.1492
17.29,252770088.1492
18.29,252770188.1492
17.79,252770288.1492
17.91,252770388.1492
19.06,252770488.1492
18.22,252770588.1492
19.17,252770688.1492
17.67,252770788.1492
17.36,252770888.1492
18.89,252770988.1492
18.25,252771088.1492
18.43,252771188.1492
18.96,252771288.1492
19.53,252771388.1492
19.48,252771488.1492
19.67,252771588.1492
20.17,252771688.1492
19.69,252771788.1492
19.63,252771888.1492
20.13,252771988.1492
19.55,252772088.1492
18.75,252772188.1492
18.8,252772288.1492
19.05,252772388.1492
18.84,252772488.1492
18.61,252772588.1492
18.92,252772688.1492
19.28,252772788.1492
18.73,252772888.1492
19.12,252772988.1492
18.55,252773088.1492
18.35,252773188.1492
17.79,252773288.1492
17.77,252773388.1492
18.58,252773488.1492
17.07,252773588.1492
17.07,252773688.1492
17.77,252773788.1492
17.3,252773888.1492
17.21,252773988.1492
16.76,252774088.1492
16.31,252774188.1492
16.23,252774288.1492
16.2,252774388.1492
16.58,252774488.1492
16.38,252774588.1492
16.19,252774688.1492
17.03,252774788.1492
16.09,252774888.1492
16.36,252774988.1492
15.85,252775088.1492
16.74,252775188.1492
16.07,252775288.1492
15.88,252775388.1492
16.77,252775488.1492
17.13,252775588.1492
16.78,252775688.1492
17.48,252775788.1492
15.72,252775888.1492
16.29,252775988.1492
15.61,252776088.1492
16.73,252776188.1492
15.88,252776288.1492
15.03,252776388.1492
15.94,252776488.1492
15.57,252776588.1492
16.17,252776688.1492
15.57,252776788.1492
15.55,252776888.1492
15.79,252776988.1492
16.24,252777088.1492
15.51,252777188.1492
15.08,252777288.1492
15.46,252777388.1492
15.08,252777488.1492
15.5,252777588.1492
15.26,252777688.1492
16.1,252777788.1492
15.67,252777888.1492
15.44,252777988.1492
15.19,252778088.1492
15.33,252778188.1492
15.23,252778288.1492
16.1,252778388.1492
16.9,252778488.1492
15.55,252778588.1492
16.37,252778688.1492
15.78,252778788.1492
16.32,252778888.1492
16.54,252778988.1492
16.34,252779088.1492
16.87,252779188.1492
16.71,252779288.1492
16.98,252779388.1492
17.72,252779488.1492
18.3,252779588.1492
18.72,252779688.1492
19.15,252779788.1492
19.23,252779888.1492
18.45,252779988.1492
19.91,252780088.1492
19.87,252780188.1492
20.38,252780288.1492
20.08,252780388.1492
19.76,252780488.1492
20.1,252780588.1492
20.43,252780688.1492
19.57,252780788.1492
20.89,252780888.1492
20.97,252780988.1492
20.87,252781088.1492
20.38,252781188.1492
22.06,252781288.1492
21.28,252781388.1492
21.68,252781488.1492
22.8,252781588.1492
22.56,252781688.1492
21.9,252781788.1492
22.25,252781888.1492
22.44,252781988.1492
22.18,252782088.1492
21.14,252782188.1492
21.36,252782288.1492
22.05,252782388.1492
22.37,252782488.1492
22.01,252782588.1492
21.84,252782688.1492
23.09,252782788.1492
21.7,252782888.1492
21.68,252782988.1492
20.65,252783088.1492
19.89,252783188.1492
19.29,252783288.1492
19.43,252783388.1492
18.99,252783488.1492
18.6,252783588.1492
17.86,252783688.1492
17.52,252783788.1492
17.06,252783888.1492
16.56,252783988.1492
17.1,252784088.1492
16.74,252784188.1492
16.61,252784288.1492
16.38,252784388.1492
16.08,252784488.1492
16.34,252784588.1492
16.36,252784688.1492
16.82,252784788.1492
15.7,252784888.1492
15.52,252784988.1492
15.59,252785088.1492
15.94,252785188.1492
15.47,252785288.1492
15.64,252785388.1492
15.58,252785488.1492
15.65,252785588.1492
16.68,252785688.1492
16.77,252785788.1492
17.26,252785888.1492
17,252785988.1492
16.9,252786088.1492
16.13,252786188.1492
16.52,252786288.1492
16.89,252786388.1492
17.79,252786488.1492
16.89,252786588.1492
16.25,252786688.1492
17.14,252786788.1492
16.73,252786888.1492
17.5,252786988.1492
17.29,252787088.1492
18.29,252787188.1492
17.47,252787288.1492
17.54,252787388.1492
17.63,252787488.1492
17.33,252787588.1492
17.33,252787688.1492
17.48,252787788.1492
16.51,252787888.1492
16.52,252787988.1492
16.45,252788088.1492
16.44,252788188.1492
16.59,252788288.1492
15.79,252788388.1492
16.3,252788488.1492
15.92,252788588.1492
15.11,252788688.1492
15.72,252788788.1492
15.88,252788888.1492
15.52,252788988.1492
15.44,252789088.1492
14.63,252789188.1492
14.47,252789288.1492
15.1,252789388.1492
14.86,252789488.1492
13.85,252789588.1492
14.1,252789688.1492
13.62,252789788.1492
13.55,252789888.1492
13.59,252789988.1492
13.22,252790088.1492
14.13,252790188.1492
13.97,252790288.1492
13.83,252790388.1492
13.98,252790488.1492
13.93,252790588.1492
13.33,252790688.1492
13.46,252790788.1492
13.18,252790888.1492
13.83,252790988.1492
13.78,252791088.1492
13.19,252791188.1492
13.22,252791288.1492
12.76,252791388.1492
12.93,252791488.1492
12.71,252791588.1492
13.13,252791688.1492
12.91,252791788.1492
12.68,252791888.1492
13.4,252791988.1492
14.15,252792088.1492
14.41,252792188.1492
13.93,252792288.1492
14.27,252792388.1492
14.05,252792488.1492
13.51,252792588.1492
13.71,252792688.1492
14,252792788.1492
14.09,252792888.1492
14.79,252792988.1492
14.6,252793088.1492
14.01,252793188.1492
14.6,252793288.1492
14.14,252793388.1492
13.98,252793488.1492
15.19,252793588.1492
14.48,252793688.1492
15.35,252793788.1492
14.4,252793888.1492
14.93,252793988.1492
15.14,252794088.1492
15.33,252794188.1492
15.67,252794288.1492
15.4,252794388.1492
15.31,252794488.1492
16.07,252794588.1492
15.44,252794688.1492
15.38,252794788.1492
15.06,252794888.1492
15.24,252794988.1492
14.89,252795088.1492
15.44,252795188.1492
14.67,252795288.1492
15.01,252795388.1492
15.08,252795488.1492
14.95,252795588.1492
14.91,252795688.1492
14.17,252795788.1492
14.06,252795888.1492
13.98,252795988.1492
14.63,252796088.1492
14.61,252796188.1492
13.63,252796288.1492
13.6,252796388.1492
13.39,252796488.1492
14.19,252796588.1492
14.5,252796688.1492
13.94,252796788.1492
14.12,252796888.1492
14.55,252796988.1492
14.09,252797088.1492
14.52,252797188.1492
14.35,252797288.1492
14.01,252797388.1492
14.44,252797488.1492
14.63,252797588.1492
14.13,252797688.1492
15.11,252797788.1492
13.93,252797888.1492
14.54,252797988.1492
14.58,252798088.1492
14.06,252798188.1492
14.18,252798288.1492
14.17,252798388.1492
13.88,252798488.1492
15.11,252798588.1492
14.46,252798688.1492
14.17,252798788.1492
14.78,252798888.1492
14.72,252798988.1492
14.63,252799088.1492
14.01,252799188.1492
5.63,252799288.1492
10.38,252799388.1492
14.35,252799488.1492
14.11,252799588.1492
13.6,252799688.1492
13.79,252799788.1492
14.03,252799888.1492
14.3,252799988.1492
13.75,252800088.1492
13,252800188.1492
13.4,252800288.1492
12.85,252800388.1492
13.21,252800488.1492
12.91,252800588.1492
12.7,252800688.1492
13.32,252800788.1492
13.32,252800888.1492
12.76,252800988.1492
13.52,252801088.1492
13.15,252801188.1492
13.07,252801288.1492
12.93,252801388.1492
13.9,252801488.1492
13.1,252801588.1492
13.25,252801688.1492
13.33,252801788.1492
12.79,252801888.1492
12.29,252801988.1492
12.53,252802088.1492
12.98,252802188.1492
12.32,252802288.1492
13.56,252802388.1492
